FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,1469,EWR,BOS,2020,34.0,2139,34.0,40.0,200.0,34.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1439,SFO,ORD,1211,174.0,1825,167.0,203.0,1846.0,27.0,0.0,0.0,0.0,140.0
2018-01-01,UA,1429,IAH,AUS,1620,30.0,1722,16.0,26.0,140.0,0.0,0.0,0.0,0.0,16.0
2018-01-01,UA,1425,SAN,SFO,615,14.0,757,37.0,69.0,447.0,14.0,0.0,23.0,0.0,0.0
2018-01-01,UA,1407,SAN,EWR,725,-8.0,1544,30.0,265.0,2425.0,0.0,0.0,30.0,0.0,0.0
2018-01-01,UA,1298,DEN,TUS,1152,36.0,1352,24.0,89.0,639.0,0.0,0.0,0.0,0.0,24.0
2018-01-01,UA,1291,EWR,SAV,1900,65.0,2130,66.0,110.0,708.0,65.0,0.0,1.0,0.0,0.0
2018-01-01,UA,1289,SAN,LAX,715,-2.0,830,38.0,24.0,109.0,0.0,0.0,38.0,0.0,0.0
2018-01-01,UA,1286,EWR,AVL,1512,47.0,1715,56.0,98.0,583.0,0.0,0.0,9.0,0.0,47.0
2018-01-01,UA,1284,IAH,LGA,1805,52.0,2233,22.0,163.0,1416.0,4.0,0.0,0.0,0.0,18.0
2018-01-01,UA,1284,SAN,IAH,1005,123.0,1516,111.0,153.0,1303.0,0.0,0.0,0.0,0.0,111.0
2018-01-01,UA,1278,EWR,TPA,1330,154.0,1631,160.0,159.0,997.0,12.0,0.0,6.0,0.0,142.0
2018-01-01,UA,1263,ORD,SEA,1918,72.0,2202,30.0,216.0,1721.0,0.0,30.0,0.0,0.0,0.0
2018-01-01,UA,1249,OMA,ORD,515,41.0,657,70.0,72.0,416.0,41.0,0.0,29.0,0.0,0.0
2018-01-01,UA,1223,ORD,BOS,1919,121.0,2237,110.0,105.0,867.0,4.0,0.0,0.0,0.0,106.0
2018-01-01,UA,1213,ORD,SFO,1558,218.0,1839,192.0,233.0,1846.0,2.0,0.0,0.0,0.0,190.0
2018-01-01,UA,1202,MCO,EWR,1259,265.0,1541,244.0,115.0,937.0,0.0,0.0,82.0,0.0,162.0
2018-01-01,UA,1199,LAX,ORD,1015,44.0,1624,18.0,199.0,1744.0,8.0,0.0,0.0,0.0,10.0
2018-01-01,UA,1192,IAH,IAD,1210,46.0,1608,16.0,130.0,1190.0,16.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1186,ORD,LAX,2120,123.0,2355,90.0,214.0,1744.0,3.0,0.0,0.0,0.0,87.0
2018-01-01,UA,1180,ORD,MCO,1750,297.0,2132,284.0,125.0,1005.0,14.0,0.0,0.0,0.0,270.0
2018-01-01,UA,1171,CLE,LAX,1917,3.0,2148,20.0,279.0,2052.0,0.0,0.0,20.0,0.0,0.0
2018-01-01,UA,1168,SFO,PHX,1352,64.0,1651,64.0,89.0,651.0,0.0,0.0,0.0,0.0,64.0
2018-01-01,UA,1167,LGA,IAH,1820,58.0,2133,18.0,188.0,1416.0,18.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1165,EWR,LAX,2159,58.0,120,17.0,319.0,2454.0,17.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1160,IAH,ORD,1218,53.0,1458,40.0,124.0,925.0,40.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1151,ORD,IAD,2110,89.0,2354,82.0,78.0,588.0,82.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1149,EWR,MCO,2155,31.0,43,36.0,137.0,937.0,31.0,0.0,5.0,0.0,0.0
2018-01-01,UA,1143,IAH,SNA,1946,2.0,2121,36.0,222.0,1346.0,0.0,0.0,36.0,0.0,0.0
2018-01-01,UA,1125,IAH,EWR,1620,1.0,2055,15.0,177.0,1400.0,0.0,0.0,15.0,0.0,0.0
2018-01-01,UA,1112,ORD,SNA,935,14.0,1203,23.0,234.0,1726.0,0.0,14.0,9.0,0.0,0.0
2018-01-01,UA,1102,DTW,EWR,845,9.0,1032,15.0,67.0,488.0,9.0,0.0,6.0,0.0,0.0
2018-01-01,UA,1076,RSW,EWR,2006,157.0,2302,125.0,127.0,1068.0,5.0,0.0,0.0,0.0,120.0
2018-01-01,UA,1062,EWR,ORD,1512,28.0,1649,15.0,108.0,719.0,3.0,0.0,0.0,0.0,12.0
2018-01-01,UA,1027,LAX,ORD,1300,49.0,1914,24.0,203.0,1744.0,1.0,0.0,0.0,0.0,23.0
2018-01-01,UA,994,EWR,BOS,2135,10.0,2245,41.0,44.0,200.0,10.0,0.0,31.0,0.0,0.0
2018-01-01,UA,992,EWR,PBI,1513,7.0,1815,22.0,170.0,1023.0,0.0,1.0,15.0,0.0,6.0
2018-01-01,UA,980,IAD,DEN,1730,100.0,1923,79.0,195.0,1452.0,0.0,0.0,0.0,0.0,79.0
2018-01-01,UA,976,CLE,ORD,1531,19.0,1604,15.0,57.0,316.0,6.0,0.0,0.0,0.0,9.0
2018-01-01,UA,964,ORD,RIC,1748,31.0,2049,53.0,82.0,642.0,31.0,0.0,22.0,0.0,0.0
2018-01-01,UA,943,SFO,LAS,1500,107.0,1638,90.0,58.0,414.0,3.0,0.0,0.0,0.0,87.0
2018-01-01,UA,927,ORD,LAX,830,30.0,1113,19.0,233.0,1744.0,0.0,0.0,19.0,0.0,0.0
2018-01-01,UA,922,FLL,SFO,633,57.0,1003,38.0,354.0,2584.0,38.0,0.0,0.0,0.0,0.0
2018-01-01,UA,904,EWR,MSY,2110,20.0,2337,24.0,175.0,1167.0,20.0,0.0,4.0,0.0,0.0
2018-01-01,UA,878,IAH,MSP,1955,37.0,2247,24.0,139.0,1034.0,2.0,0.0,0.0,0.0,22.0
2018-01-01,UA,841,SJU,ORD,1510,24.0,1810,24.0,273.0,2072.0,10.0,0.0,0.0,0.0,14.0
2018-01-01,UA,832,FLL,IAH,1455,88.0,1654,74.0,138.0,966.0,74.0,0.0,0.0,0.0,0.0
2018-01-01,UA,832,IAH,LAX,1810,33.0,2002,25.0,196.0,1379.0,25.0,0.0,0.0,0.0,0.0
2018-01-01,UA,805,SFO,PDX,835,103.0,1028,97.0,83.0,550.0,0.0,97.0,0.0,0.0,0.0
2018-01-01,UA,801,EWR,PBI,1655,46.0,1956,44.0,150.0,1023.0,4.0,0.0,0.0,0.0,40.0
2018-01-01,UA,793,DFW,ORD,1235,126.0,1458,116.0,110.0,802.0,4.0,0.0,0.0,0.0,112.0
2018-01-01,UA,792,ATL,EWR,1555,-6.0,1816,39.0,120.0,746.0,0.0,0.0,39.0,0.0,0.0
